카테고리,슬러그,채널명,핸들,URL,유형,운영구분,설명,확인일자
뉴스 · 지식 · 교육,news-knowledge,비큐BQ 뉴스방,@bq_news,https://t.me/bq_news,채널,커뮤니티,개인 디엠은-> @BQrypto Homepage:bqyoutube.com 🐥유튜브: https://bit.ly/bqcrypto ✏️공지방: https://t.me/BQTelegram 🚨김프 알람방: https://t.me/bq_kimp 💁‍♂️소통방…,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,비큐BQ 소통방,@BQKoreachat,https://t.me/BQKoreachat,채널,커뮤니티,방장: @BQrypto Homepage: https://bqyoutube.com 🐥유튜브: https://bit.ly/bqcrypto ✏️공지방: https://t.me/BQTelegram 🚨김프 알람방: https://t.me/bq_kimp 💁‍♂…,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,선수촌,@athletes_village,https://t.me/athletes_village,채널,커뮤니티,"*필독: 기관투자자, 금융업계전문가 및 이에 준하는 지식과 경험을 가진 분들(이하 ""선수들"")을 대상으로 잡다한 정보와 진실을 알아보는 '인문사회자연과학 탐사채널' 텔레그램 채널 선수촌 (이하 ""본 채널"")의 모든 권리는 본 채널의 관리자에게 있습니…",2026-08-21
뉴스 · 지식 · 교육,news-knowledge,외투영공: 외신·투자·영어·공부,@fnnews_en,https://t.me/fnnews_en,채널,커뮤니티,주요 외신을 활용한 경제·금융 정보와 영어 학습,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,유빈 아카이브 Chat,@yubin_chat,https://t.me/yubin_chat,채널,커뮤니티,수능 관련 이야기를 하는 채팅방입니다.,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,인문 상식과 정보 채널,@saramgal,https://t.me/saramgal,채널,커뮤니티,가볍게 읽을 수 있는 인문학·사람·사회 관련 정보,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,전자신문 프리미엄,@etnewspremium,https://t.me/etnewspremium,채널,기관/회사,전자신문 프리미엄 기사 링크 모음,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,정의당 뉴스채널,@justicekr,https://t.me/justicekr,채널,커뮤니티,정의당의 모든 소식을 전합니다💛,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,천지일보 독자알림창,@cheonjiilbo,https://t.me/cheonjiilbo,채널,커뮤니티,'새 시대 희망 언론' 천지일보 독자 알림창입니다.,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,"캄보디아, 태국 (긴급뉴스)",@cambobreakingnews,https://t.me/cambobreakingnews,채널,커뮤니티,"캄보디아, 현지 뉴스, 속보 채널",2026-08-21
뉴스 · 지식 · 교육,news-knowledge,텔레그램 대학수학능력시험 Q&A 질문방,@KSAT_QNA,https://t.me/KSAT_QNA,채널,커뮤니티,"텔레그램 대학수학능력시험 Q&A 질문방입니다. 상단에 고정된 공지 정독 후 이용해주시기 바랍니다. 문제 질문 양식 : 1. 문제 원본 사진 2. 문제 출처 및 답 3. 본인 풀이과정 중 구체적으로 막힌부분 🔈답변, 질문 시 가급적 한번에 내용을 꽉…",2026-08-21
뉴스 · 지식 · 교육,news-knowledge,텔레브리핑 - 캄보디아 뉴스,@newsbriefingcambodia,https://t.me/newsbriefingcambodia,채널,기관/회사,캄보디아 현지 소식을 한국어로 전하는 뉴스 채널,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,플스포 매운맛,@vvvvzzzzvvvv,https://t.me/vvvvzzzzvvvv,채널,커뮤니티,본 텔방은 교육 목적입니다. 투자에 대한 정보 제공 및 참고를 위한 내용이며 투자 권유를 위한 내용이 아닙니다. 모든 투자에 대한 책임은 투자자 본인에게 있습니다.,2026-08-21
뉴스 · 지식 · 교육,news-knowledge,하양이아빠의 암호화폐이야기,@xvgwhitedog2,https://t.me/xvgwhitedog2,채널,커뮤니티,"하양이아빠가 전하는 암호화폐 공부자료와 뉴스정리 입니다. 제가 직접 작성중인 암호화폐 용어정리, 뉴스들을 업데이트 하고 있습니다. 채널문의는 @xvgwhitedog 로 부탁드립니다. 카카오톡채팅방 : https://open.kakao.com/o/gN…",2026-08-21
뉴스 · 지식 · 교육,news-knowledge,📰 실시간 속보 단독 뉴스,@news_kor,https://t.me/news_kor,채널,커뮤니티,@coingram_adm,2026-08-21
생활 · 환경 · 쇼핑,life,#Beautylog,@ejpark3312,https://t.me/ejpark3312,채널,커뮤니티,뷰티 브랜드 제품 이야기,2026-08-21
생활 · 환경 · 쇼핑,life,통합대기지수,@airkorea,https://t.me/airkorea,채널,커뮤니티,한국환경공단 자료를 활용한 미세먼지·대기질 알림,2026-08-21
생활 · 환경 · 쇼핑,life,한국 커뮤니티 핫딜 모아보기,@hotdeal_kr,https://t.me/hotdeal_kr,채널,커뮤니티,여러 국내 커뮤니티의 핫딜 게시물을 모아 제공,2026-08-21
취업 · 커리어,careers,Equity Jobs x moneysonata,@equityjobs,https://t.me/equityjobs,채널,커뮤니티,VC·PE·IB 등 금융권 경력직 채용 정보와 관련 자료,2026-08-21
취업 · 커리어,careers,금융권 채용공고,@KrFinJobPostings,https://t.me/KrFinJobPostings,채널,커뮤니티,금융권 채용공고를 모아 제공하는 알림 채널,2026-08-21
부동산,real-estate,부동산 급등일보,@fastlandnews,https://t.me/fastlandnews,채널,커뮤니티,부동산 정책·세금·수급과 시장 뉴스 큐레이션,2026-08-21
부동산,real-estate,부동산뉴스 채널_서울경제,@sedaily_real_estate,https://t.me/sedaily_real_estate,채널,기관/회사,서울경제의 분양·정책·부동산 시장 뉴스,2026-08-21
부동산,real-estate,아파트미(me) 실거래 배포,@apt2me,https://t.me/apt2me,채널,커뮤니티,아파트 실거래 정보를 제공하는 알림 채널,2026-08-21
부동산,real-estate,유튜브 채부심 Official 채널,@aptvalueprice,https://t.me/aptvalueprice,채널,개인,채상욱 운영자의 부동산·주식·자산관리 관점 공유,2026-08-21
경제 · 증권 · 리서치,finance,[DAOL퀀트 김경훈] 탑다운 전략,@toptownquant,https://t.me/toptownquant,채널,커뮤니티,"Quant 김경훈 CAIA, FRM, CFA aimhigh2027@daolfn.com",2026-08-21
경제 · 증권 · 리서치,finance,[미래에셋 배터리/디스플레이 김철중] 디배저,@cjdbj,https://t.me/cjdbj,채널,커뮤니티,"미래에셋 배터리/디스플레이 담당 김철중 연구위원입니다. 산업 관련 데이터 공유 채널이며, 종목에 대한 투자 의견은 발간 완료된 보고서만을 통해서 제공하고 있습니다. 궁금하신 사항은 아래 이메일을 통해서 문의 부탁드립니다. chuljoong.kim@m…",2026-08-21
경제 · 증권 · 리서치,finance,[미래에셋박수진] 중국/홍콩 증시를 봅니다,@chinadagudong,https://t.me/chinadagudong,채널,커뮤니티,You can view and join @chinadagudong right away.,2026-08-21
경제 · 증권 · 리서치,finance,"[미래에셋증권 시황] 김석환, 김주연",@globalmktinsight,https://t.me/globalmktinsight,채널,커뮤니티,Fact & Insight,2026-08-21
경제 · 증권 · 리서치,finance,[미래에셋증권 전략/퀀트 유명간],@eqmirae,https://t.me/eqmirae,채널,커뮤니티,미래에셋증권 투자전략/퀀트 텔레그램,2026-08-21
경제 · 증권 · 리서치,finance,[신한 리서치본부] 제약/바이오,@bio_shinhan,https://t.me/bio_shinhan,채널,개인,"안녕하세요. 신한투자증권 제약/바이오 담당 엄민용 연구위원, 이호철 수석연구원, 윤석현 연구원(RA), 임재현 연구원(RA) 입니다. 리서치본부 내 공표된 조사분석자료를 실시간으로 제공 할 수 있도록 정보 전달을 위해 운영되는 채널입니다.",2026-08-21
경제 · 증권 · 리서치,finance,[유안타/이안나] 2차전지/신에너지,@anna7673,https://t.me/anna7673,채널,공식,유안타증권 이안나 애널리스트 공식 채널입니다. 본 채널에는 컴플라이언스 절차를 거친 리서치 자료 및 관련 내용을 공유합니다. 텔레그램 플랫폼에서 자동 노출되는 광고/추천 콘텐츠는 본 채널 및 운영자와 무관합니다.,2026-08-21
경제 · 증권 · 리서치,finance,[채권/금리 김상훈] 후니본(Bond),@hanabondview,https://t.me/hanabondview,채널,커뮤니티,채권/경제 관련 뉴스와 발간자료 소통 목적,2026-08-21
경제 · 증권 · 리서치,finance,[충간지의 글로벌 의료기기/디지털 헬스/로보틱스 연구소],@globalmedtech,https://t.me/globalmedtech,채널,개인,"유사 손흥민, 의료기기 산신령, CFA Charterholder, 2권을 집필한 작가, 독도명예주민, Mensan, Rescue/Master Diver, Classic Suit, 생활체육인, 그리고 월급쟁이 직장인 본 채널의 게시물은 투자권유가 아닌…",2026-08-21
경제 · 증권 · 리서치,finance,[하나 Global ETF] 박승진,@globaletfi,https://t.me/globaletfi,채널,공식,[하나증권 리서치센터 해외주식분석실 실장] 글로벌 ETF 애널리스트 박승진입니다. 국내외 금융시장과 관련된 다양한 이슈들을 전해 드리고자 합니다. 공식 하우스 뷰는 발간 자료를 통해서만 제공됩니다. 참고하시기 바랍니다.,2026-08-21
경제 · 증권 · 리서치,finance,[하나 매크로/자산배분] 이재만/박승진/이영주/전규연,@HANA_Macro,https://t.me/HANA_Macro,채널,커뮤니티,You can view and join @HANA_Macro right away.,2026-08-21
경제 · 증권 · 리서치,finance,[하나증권 해외채권] 허성우,@deandatbond,https://t.me/deandatbond,채널,커뮤니티,선진국 및 신흥국 채권/경제 뉴스 소통 목적,2026-08-21
경제 · 증권 · 리서치,finance,[하나채권] 김상만.이영주.박준우.하형민.허성우,@hanabond,https://t.me/hanabond,채널,커뮤니티,채권 분석 리포트와 살펴봐야할 국내외 주요 이슈들을 이야기합니다.,2026-08-21
경제 · 증권 · 리서치,finance,[한투증권 🚘 자동차 / 김창호 & 전유나],@autoteamkorea,https://t.me/autoteamkorea,채널,커뮤니티,한국투자증권 자동차팀,2026-08-21
경제 · 증권 · 리서치,finance,AWAKE - 52주 신고가 모니터링,@awake_realtimeCheck,https://t.me/awake_realtimeCheck,채널,커뮤니티,"52주 신고가 및 최대 거래량 갱신 종목 정보를 모바일에서 한눈에 쉽게 확인할 수 있는 채널 - 잠재 오버행, - 최근 리포트발간 내역 - 자사주 보유/매입/소각 내역 등 - 최근 주요공시(시설투자,공급계약,지분...) - IPO 보호예수 - 분할,…",2026-08-21
경제 · 증권 · 리서치,finance,AWAKE - 마켓 브리핑,@awake_schedule,https://t.me/awake_schedule,채널,커뮤니티,시장의 핵심만을 간결하게 정리하여 알려드립니다. 공유를 원하는 증시 및 개별종목 일정이 있다면 아래 링크로 알려주세요 https://t.me/awakeplus 채널 내 모든 자료는 참고용이며 투자권유나 추천이 아닙니다. 자동 생성 컨텐츠가 대부분이라…,2026-08-21
경제 · 증권 · 리서치,finance,AWAKE - 실시간 주식 공시 정리채널,@darthacking,https://t.me/darthacking,채널,커뮤니티,주요 전자공시를 선별해 요약하는 자동 알림 채널,2026-08-21
경제 · 증권 · 리서치,finance,BK Tech Insight - 바바리안 리서치,@Barbarian_Global_Tech,https://t.me/Barbarian_Global_Tech,채널,커뮤니티,안녕하세요! 바바리안 리서치에서 글로벌 테크를 담당하고 있는 BK라고 합니다. 주식 투자에 있어서 테크 기업들의 중요도가 계속 커지고 있습니다. 국내외 모두 적용될 수 있는 테크 소식들의 맥락을 핵심 위주로 전달드릴 수 있도록 하겠습니다. 조금 긴…,2026-08-21
경제 · 증권 · 리서치,finance,Buff,@bufkr,https://t.me/bufkr,채널,커뮤니티,"버프받고 투자하자 - 내용은 투자 판단의 근거로 활용할 수 없음 - 내용이 사실과 다를 수 있으며, 단순한 의견도 있음 - 언급된 종목을 보유하고 있을 수 있으며, 언제든 매도할 수 있음 문의: jelly@buf.kr",2026-08-21
경제 · 증권 · 리서치,finance,DAOL 조선·기계·방산 최광식,@HI_GS,https://t.me/HI_GS,채널,기관/회사,조선·기계·방산 업종 보고서와 산업 뉴스,2026-08-21
경제 · 증권 · 리서치,finance,DS투자증권 리서치,@DSInvResearch,https://t.me/DSInvResearch,채널,커뮤니티,You can view and join @DSInvResearch right away.,2026-08-21
경제 · 증권 · 리서치,finance,IR KUDOS,@irgoirgo,https://t.me/irgoirgo,채널,기관/회사,기업 IR과 주주 커뮤니케이션 관련 정보,2026-08-21
경제 · 증권 · 리서치,finance,IT는 SK,@skitteam,https://t.me/skitteam,채널,기관/회사,SK증권 IT·반도체·테크 업종 리서치 자료,2026-08-21
경제 · 증권 · 리서치,finance,IT의 신 이형수,@hslpartners,https://t.me/hslpartners,채널,커뮤니티,아신 여러분들을 위한 사랑방입니다. 이 채널에서 제공하는 콘텐츠에는 오류가 있을수 있습니다. 매수/매도 추천이 절대 아니며 매매의 근거로 활용될 수 없습니다. 해당 게시물의 내용은 어떤 경우에도 법적 근거로 사용될 수 없습니다. 언급된 모든 기업은…,2026-08-21
경제 · 증권 · 리서치,finance,KB증권 건설 장문준,@KB_EPC_MJ,https://t.me/KB_EPC_MJ,채널,기관/회사,KB증권 건설 업종 리서치와 산업 자료,2026-08-21
경제 · 증권 · 리서치,finance,Macro Jungle | micro lens,@Macrojunglemicrolens,https://t.me/Macrojunglemicrolens,채널,개인,"본 채널은 시장에 대한 즉각적인 의견이나 전망 제시보다는, 공개된 외국계 리서치를 기반으로 구조·전제·변화 포인트를 기록하는 데 목적을 두고 있습니다. 본 채널의 게시물들은 작성자 본인에 의한 매수 및 매도 추천의사가 아니며, 게시물에 표기된 내용상…",2026-08-21
경제 · 증권 · 리서치,finance,ordinary subinium,@web3subin,https://t.me/web3subin,채널,커뮤니티,"진짜가 되고 싶은. 채팅방: https://t.me/web3subinchat * 모든 의견은 개인 의견이며, 제가 속한 회사, 조직 등을 대변하지 않습니다. 모든 내용은 특정 자산에 대한 경제적 조언이 아니며, 이에 대해 책임지지 않습니다.",2026-08-21
경제 · 증권 · 리서치,finance,SK증권 Research,@sksresearch,https://t.me/sksresearch,채널,커뮤니티,SK증권 지식서비스 부문 Telegram 채널,2026-08-21
경제 · 증권 · 리서치,finance,SK증권 스몰캡 리서치,@sk_smallcap,https://t.me/sk_smallcap,채널,커뮤니티,SK증권 중소형주 리서치,2026-08-21
경제 · 증권 · 리서치,finance,SK증권 조선/방산 한승한,@SKSCyclical,https://t.me/SKSCyclical,채널,커뮤니티,You can view and join @SKSCyclical right away.,2026-08-21
경제 · 증권 · 리서치,finance,TNBfolio,@TNBfolio,https://t.me/TNBfolio,채널,커뮤니티,본 TNB 채널에서 제공하는 자료는 매수&매도에 대한 의견 절대 아니며 투자자 본인의 참고용에 불과 합니다. 모든 매수와 매도에 대한 책임은 본인에게 있습니다.,2026-08-21
경제 · 증권 · 리서치,finance,Yeouido Lab_여의도 톺아보기,@Yeouido_Lab,https://t.me/Yeouido_Lab,채널,개인,前 헤지펀드 매니저와 前 애널리스트의 여의도 톺아보기. 기관투자자의 깊이있는 인사이트로 수많은 투자 정보 속에서 해자를 선별합니다. 해당 채널의 게시물은 단순 의견 및 기록용도이고 매수-매도 등 투자권유를 의미하지 않습니다. 해당 게시물의 내용은 부…,2026-08-21
경제 · 증권 · 리서치,finance,YIELD & SPREAD,@yieldnspread,https://t.me/yieldnspread,채널,개인,채권 애널리스트 김성수 & 크레딧 애널리스트 한시화,2026-08-21
경제 · 증권 · 리서치,finance,YM리서치,@ym_research,https://t.me/ym_research,채널,개인,"안녕하세요, YM리서치입니다. 돈되는 고민만을 담아내겠습니다. ‼️Disclaimer‼️ 본 채널은 투자 판단에 참고가 될만한 정보의 제공만을 목적으로 매수/매도에 대한 추천이 아니며, 채널의 콘텐츠는 작성자의 주관적인 견해를 바탕으로 그 정확성이나…",2026-08-21
경제 · 증권 · 리서치,finance,YSK China sector,@YSK_China_sector,https://t.me/YSK_China_sector,채널,커뮤니티,유안타증권 리서치 중국산업,2026-08-21
경제 · 증권 · 리서치,finance,《하나 주식전략》 이재만과 이경수,@HANAStrategy,https://t.me/HANAStrategy,채널,커뮤니티,"주식전략 이재만과 퀀트 이경수가 전하는 1등 리서치, 1등 투자전략 채널(본 텔레방 외는 모두 사칭으로 주의하세요)",2026-08-21
경제 · 증권 · 리서치,finance,가치투자클럽,@corevalue,https://t.me/corevalue,채널,커뮤니티,공표된 증권사 자료·전자공시·뉴스와 재무자료,2026-08-21
경제 · 증권 · 리서치,finance,간절한 투자스터디카페,@Desperatestudycafe,https://t.me/Desperatestudycafe,채널,커뮤니티,간스 투기 채널 후원 링크: https://litt.ly/gans Boost link: https://t.me/Desperatestudycafe?boost Disclaimer: 매수/매도 추천 안 합니다. 대부분 보유주식들에 대한 코멘트입니다. 책임…,2026-08-21
경제 · 증권 · 리서치,finance,강남주꾸미(주식으로꿈꾸는미래),@fivestock,https://t.me/fivestock,채널,개인,"본 SNS는 투자권유 목적으로 제작된 것이 아니며, 제작자 소속회사의 의견과는 관련이 없는 내용으로 투자의사결정 시 전적으로 투자자의 책임과 판단 하에 결정되어야 합니다. 따라서 어떤 경우에도 법적책임소재의 증빙자료로 사용될 수 없습니다. 본 SNS…",2026-08-21
경제 · 증권 · 리서치,finance,건설/조선/리츠 | 강경태 | 한국투자증권,@enc210406,https://t.me/enc210406,채널,커뮤니티,건설과 조선 업종 자료 공유,2026-08-21
경제 · 증권 · 리서치,finance,고팍스(GOPAX) 공식채널,@gopaxkr_official,https://t.me/gopaxkr_official,채널,공식,"새로운 금융의 개척, 고팍스 공식 텔레그램 채널 입니다.",2026-08-21
경제 · 증권 · 리서치,finance,곤조투자가 개인 아카이브:일기장,@twozaga,https://t.me/twozaga,채널,커뮤니티,지극히 개인적인 개인투자 자료 아카이브 채널입니다. 고정된 메세지를 읽어주시면 감사하겠습니다. 투자 구호 시작! 매수는 지조있게! 매도는 기조있게! 투자는 곤조있게! 그냥 뇌피셜만 하는 사람입니다.,2026-08-21
경제 · 증권 · 리서치,finance,그냥 김라브😸,@kim_rob,https://t.me/kim_rob,채널,커뮤니티,김라브가 공부하는 내용도 올리고 헛소리도 하는 채널입니다. 본 채널의 게시물은 단순 의견 및 기록용도이고 매수-매도 등 투자권유를 의미하지 않습니다. 해당 게시물의 내용은 부정확할 수 있으며 매매에 따른 손실은 거래 당사자의 책임입니다. 해당 게시물…,2026-08-21
경제 · 증권 · 리서치,finance,그로쓰리서치,@growthresearch,https://t.me/growthresearch,채널,기관/회사,국내외 주식·암호화폐 기업탐방 중심의 독립 리서치,2026-08-21
경제 · 증권 · 리서치,finance,급등일보 미국주식🇺🇸 속보·매크로·리서치,@FastStockNewsUSA,https://t.me/FastStockNewsUSA,채널,공식,🇺🇸급등일보에서 직접 운영하는 미국주식 속보·리서치 텔레그램 채널입니다🤠 - 미국증시 속보 및 실시간 주요 이슈 제공 - 유망 기술주/성장주 투자 아이디어 발굴 - 글로벌 매크로와 시장 이슈 브리핑 [공식 소셜 안내] 📌 shorten.is/sns1…,2026-08-21
경제 · 증권 · 리서치,finance,나박 AI : 제일 빠른 진짜 중요한 외신 속보,@coinaiai_report,https://t.me/coinaiai_report,채널,커뮤니티,아무 뉴스나 퍼나르는 채널이 아닙니다. AI가 계속 성장해서 영향을 줄만한 뉴스만 타타타닥 내보냅니다!!! 자매품 : 차트봇 📌핵심 기능 • AI 기반 차트 패턴(ICT/SMC) 실시간 탐지 • 코인·미국주식·국내주식 고승률 셋업 포착 • 거시경제(…,2026-08-21
경제 · 증권 · 리서치,finance,대신 전략. 돌직구,@daishinstrategy,https://t.me/daishinstrategy,채널,기관/회사,국내외 금융시장 전망과 투자전략,2026-08-21
경제 · 증권 · 리서치,finance,대신증권 리서치,@dsrsc,https://t.me/dsrsc,채널,기관/회사,대신증권 리서치센터 발간 보고서,2026-08-21
경제 · 증권 · 리서치,finance,도PB의 생존투자,@survival_DoPB,https://t.me/survival_DoPB,채널,커뮤니티,치열한 주식시장에서 함께 생존하기 위한 공간입니다. #Disclaimer • 업로드 되는 모든 종목은 작성자 및 작성자와 연관된 사람들이 보유하고 있을 가능성이 있습니다. • 또한 해당 종목 및 상품을 보유 또는 매도했을 가능성이 있으며 보유하고 있…,2026-08-21
경제 · 증권 · 리서치,finance,독립리서치 밸류파인더,@valuefinder,https://t.me/valuefinder,채널,공식,독립리서치 밸류파인더 공식채널입니다.,2026-08-21
경제 · 증권 · 리서치,finance,두부분식 공식 채널,@dobuannouncement,https://t.me/dobuannouncement,채널,공식,"두부분식은 생각을 나누고 더해, 함께 부를 키워가는 하나증권의 신개념 투자 커뮤니티입니다. 모든 정보는 투자 권유 목적이 아니며 투자의 책임은 항상 본인에게 있습니다. 투자 권유 및 자문을 하는 곳이 아닙니다. 이 점을 숙지하시고 플랫폼을 이용해주세…",2026-08-21
경제 · 증권 · 리서치,finance,디앤디파마텍 공식 IR 채널,@dndpharmatech,https://t.me/dndpharmatech,채널,공식,디앤디파마텍 공식 IR 채널입니다.,2026-08-21
경제 · 증권 · 리서치,finance,딘스티커 Dean's Ticker,@d_ticker,https://t.me/d_ticker,채널,커뮤니티,"온갖 시장, 섹터, 종목을 다룹니다 ▶️ 문의 : deansticker2025@gmail.com ▶️ 블로그 : blog.naver.com/ddeean ▶️ X : https://x.com/Deansticker ※이 채널의 피드는 증시 관련 소식과…",2026-08-21
경제 · 증권 · 리서치,finance,루팡,@bornlupin,https://t.me/bornlupin,채널,커뮤니티,루팡 Invest,2026-08-21
경제 · 증권 · 리서치,finance,매경 월가월부,@mkglobalinvest,https://t.me/mkglobalinvest,채널,기관/회사,매일경제의 미국 증시·글로벌 투자 콘텐츠,2026-08-21
경제 · 증권 · 리서치,finance,매실남과 당신은 반드시 승리할것,@waitstudy,https://t.me/waitstudy,채널,커뮤니티,"돈벌러왔으면 돈을 벌자 투자자 매실남입니다. #AD = Paid promotion / #KOL = Requested KOL post 📌 면책조항 - 본 채널의 모든 내용은 정보 공유 목적이며, 투자 권유나 자문이 아닙니다. - 투자 판단과 그에 따른…",2026-08-21
경제 · 증권 · 리서치,finance,메리츠 투자전략 황수욱,@soowook_hwang,https://t.me/soowook_hwang,채널,개인,탑다운 투자전략 자료를 공유하는 애널리스트 채널,2026-08-21
경제 · 증권 · 리서치,finance,메리츠증권 리서치,@meritz_research,https://t.me/meritz_research,채널,기관/회사,공표된 메리츠증권 리서치 자료 공유,2026-08-21
경제 · 증권 · 리서치,finance,메리츠증권 투자전략팀,@Meritz_strategy,https://t.me/Meritz_strategy,채널,기관/회사,국내외 전략·경제·채권·계량·시황 자료,2026-08-21
경제 · 증권 · 리서치,finance,미국 주식 인사이더,@insidertracking,https://t.me/insidertracking,채널,커뮤니티,미국주식·크립토·국제정치와 속보를 공유하는 채널,2026-08-21
경제 · 증권 · 리서치,finance,미국주식과 투자이야기,@itechkorea,https://t.me/itechkorea,채널,커뮤니티,트위터 -> https://twitter.com/itechkoreallc 스레드 -> https://www.threads.net/@itechkorea 미주투 카톡 단톡방 -> https://open.kakao.com/o/g3e8yxBc 비번: usi…,2026-08-21
경제 · 증권 · 리서치,finance,번개맞은뉴스,@stock_messenger,https://t.me/stock_messenger,채널,커뮤니티,주도주와 관련 섹터 뉴스를 추적하는 채널,2026-08-21
경제 · 증권 · 리서치,finance,불스해적단,@bulls_pirates,https://t.me/bulls_pirates,채널,개인,"THINK SMART, ACT PIRATES ※커뮤니티 이용 유의사항※ 📩: Noterminus@naver.com - 본 커뮤니티에서 제공되는 분석과 공유되는 관점, 차트 관련 학습 자료 등은 특정 자산의 매매 시기나 금액을 제시하는 투자 권유가 아…",2026-08-21
경제 · 증권 · 리서치,finance,블록미디어,@blockmedia,https://t.me/blockmedia,채널,커뮤니티,"블록미디어는 한국 최초로 전세계 디지털자산(가상자산)과 블록체인에 관한 콘텐츠를 전하는 미디어입니다. 시장정보와 더불어 규제 및 금융, 경제, 기술, 라이프 스타일 등 다양한 관점에서 독자여러분에게 한 발 앞선 통찰력을 제공하기 위해 노력합니다. 블…",2026-08-21
경제 · 증권 · 리서치,finance,빠르고 정확한 주식정보방,@fastest_info1,https://t.me/fastest_info1,채널,커뮤니티,넘쳐나는 뉴스속에서 알짜배기만 빠르게 전달 드립니다. 모든 컨텐츠에는 오류가 있을수 있고 매수/매도 추천 아니며 매매의 근거로 활용될 수 없습니다. 해당 게시물의 내용은 어떤 경우에도 법적 근거로 사용될 수 없습니다. 언급된 모든 기업은 보유 중일…,2026-08-21
경제 · 증권 · 리서치,finance,상장기업 수사대 ☎️,@cyber_rangers,https://t.me/cyber_rangers,채널,커뮤니티,"시장에 알려진 적 없는 상장기업의 뒷이야기를 탐사하고, 역시 시장에 알려지지 않은 장기 성장성 종목을 육성 발굴하는 곳입니다.",2026-08-21
경제 · 증권 · 리서치,finance,서화백의 그림놀이 🚀,@easobi,https://t.me/easobi,채널,커뮤니티,#Disclaimer 해당 채널의 게시물은 단순 의견 및 기록용도이고 매수-매도 등 투자권유를 의미하지 않습니다. 해당 게시물의 내용은 부정확할 수 있으며 매매에 따른 손실은 거래 당사자의 책임입니다. 해당 게시물의 내용은 어떤 경우에도 법적 근거로…,2026-08-21
